"מספר סעיף","שם סעיף","הסבר","שם המשרד"
2402,"משרד ראשי","בתחום פעולה זה מרוכזת הפעילות של מטה משרד הבריאות,  תקציבי כח  אדם ותקציבי התפעול. 
במשרד הראשי מועסקים כ- 900 עובדים.  בתחומי התפעול מרוכזים תקציבי הקניות של המשרד 
הראשי:","בריאות"
240201,"שכר מטה","שכר ונלוות של העובדים במטה המשרד.","בריאות"
240202,"פעולות מרכזיות כ""א","העסקת עובדים זמנית, לפי שעות ובעבודה בלתי צמיתה.","בריאות"
240201,"מינהל ומשאבי אנוש","תקציבי תפעול במטה המשרד, נסיעות לחו""ל, ביטחון, דיור, רכב ומחשוב.","בריאות"
240220,"מתמחים בפסיכולוגיה","מימון התמחות של פסיכולוגים במרכזים רפואיים כללים ובמרכזים רפואיים לבריאות הנפש.","בריאות"
240222,"מנהל טכנולוגיות","פעילות מטה המינהל לטכנולוגיות, המכון לביקורת ותקינה של חומרי רפואה, האגף לרוקחות, המכון לבדיקת קרינת רנטגן ומימון חוק דם ציבורי","בריאות"
240230,"יחידות מטה","מימון מחקרים, הסברה ויחסי ציבור, פיקוח על קופות החולים, דמי נזיקין וחקר שירותי רפואה.","בריאות"
240260,"המרכז הלאומי לבקרת מחלות","המרכז הלאומי לבקרת מחלות- מחקרי רפואה, רישום תחלואה, עריכת סקרי בריאות.","בריאות"
240262,"המכון הרפואי לבדיקות בדרכים","בדיקות רפואיות ופסיכולוגיות לרישוי נהגים.","בריאות"
240298,"שירותי חירום","בקרה ומימון של פעילויות חירום והצלה בארגון מד""א.","בריאות"
240299,"שעת חירום","הערכות לשעת חירום, הצטיידות במלאי חירום, עריכת תרגילים.","בריאות"
2404,"יחידות מסונפות לבתי החולים","בתחום פעולה זה מרוכזות פעילויות הדרכה והכשרה ופעילות יחידות משרד הבריאות המסונפות לבתי 
החולים. פעילות ההכשרה כוללת בעיקרה הכשרת אחיות וטכנאים בבתי הספר הממשלתיים ללימודי 
סיעוד, רנטגן ופיזיותרפיה, אשר מסונפים למרכזים רפואיים כלליים. מרבית ההוצאה התקציבית בבתי 
הספר מתמקדת במימון שכר הצוות של ביה""ס וחלקה הקטן מיועד להוצאות תפעול שוטפות. בנוסף 
על בתי הספר, פועלות במרכזים הרפואיים הממשלתיים גם יחידות ארציות נוספות כגון, המכון הלאומי 
לרפואה משפטית, המכון לרעלים, היחידה לטיפול בהמופיליה והיחידה לטיפול בחיידקים עמידים. גם 
ביחידות אלה, מרבית ההוצאה הינה מימון שכר העובדים.","בריאות"
240403,"הכשרת אחיות","מימון קורסים להכשרה והשתלמות מקצועית לאחיות,  כולל שכר המרצים ושכר אחיות מחליפות 
לאחיות המשתלמות","בריאות"
